礼包标识,礼包名称,来源,条码,组件名称,数量,EMG编码,EMG状态,备注
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸牛腱子500g,1,EMG4418824976893,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸牛肉块500g,1,EMG4418727169547,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸澳洲谷饲牛肋排块400g,1,EMG4418727173759,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸牛腩块500g,1,EMG4418727173231,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,卓辰精选牛肉卷300g,4,EMG4418767478832,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸羊蝎子500g,2,EMG4418727170819,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸羊排块500g,1,EMG4418767459988,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸羊小腿500g,1,EMG4418691851778,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸羊肉块500g,1,EMG4418767460168,旧文件回填,
9250421000012,牛羊礼包5800g (BJ),both,9250421000012,北京卓宸新西兰羔羊肉卷200g,1,EMG4418697325133,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,北京卓宸牛腱子500g,1,EMG4418824976893,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,北京卓宸牛肉块500g,1,EMG4418727169547,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,北京卓宸澳洲谷饲牛肋排块400g,1,EMG4418727173759,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,北京卓宸牛腩块500g,1,EMG4418727173231,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,筋头巴脑500g,1,EMG4418705676249,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,精选羔羊肉卷200,2,EMG4418697325133,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,北京卓宸羊蝎子500g,1,EMG4418727170819,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,北京卓宸羊排块500g,1,EMG4418767459988,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,北京卓宸羊小腿500g,1,EMG4418691851778,旧文件回填,
9250418000038,卓宸 牛羊肉礼包5300g    (BJ),both,9250418000038,新西兰羔羊羊颈排1000g,1,EMG4418904458528,旧文件回填,
9250424000055,牛肉礼包6200g（BJ）,both,9250424000055,牛腩块500g,3,EMG4418727173231,旧文件回填,
9250424000055,牛肉礼包6200g（BJ）,both,9250424000055,牛腱子（谷饲牛腱子）500g,2,EMG4418824976893,旧文件回填,
9250424000055,牛肉礼包6200g（BJ）,both,9250424000055,牛肉块500g,2,EMG4418727169547,旧文件回填,
9250424000055,牛肉礼包6200g（BJ）,both,9250424000055,澳洲谷饲牛肋排400g,2,EMG4418727173759,旧文件回填,
9250424000055,牛肉礼包6200g（BJ）,both,9250424000055,澳洲谷饲牛蝎子400g,2,EMG4418691848770,旧文件回填,
9250424000055,牛肉礼包6200g（BJ）,both,9250424000055,卓辰精选牛肉卷300g,2,EMG4418767478832,旧文件回填,
9250424000055,牛肉礼包6200g（BJ）,both,9250424000055,牛肉馅500g,1,EMG4418904462240,旧文件回填,
9250522000028,牛肉大礼包5200g （BJ）,both,9250522000028,牛腩块500g,2,EMG4418727173231,旧文件回填,
9250522000028,牛肉大礼包5200g （BJ）,both,9250522000028,牛腱子500g,2,EMG4418824976893,旧文件回填,
9250522000028,牛肉大礼包5200g （BJ）,both,9250522000028,牛后腿肉500g,2,EMG4418778272348,旧文件回填,
9250522000028,牛肉大礼包5200g （BJ）,both,9250522000028,筋头巴脑500g,2,EMG4418705676249,旧文件回填,
9250522000028,牛肉大礼包5200g （BJ）,both,9250522000028,澳洲谷饲牛蝎子400g,2,EMG4418691848770,旧文件回填,
9250522000028,牛肉大礼包5200g （BJ）,both,9250522000028,澳洲谷饲牛助排400g,1,EMG4418727173759,旧文件回填,
9250909000005,牛腩块羊蝎子大礼包1900g,both,9250909000005,羊蝎子500g,2,EMG4418727170819,旧文件回填,
9250909000005,牛腩块羊蝎子大礼包1900g,both,9250909000005,牛蝎子400g,1,EMG4418691848770,旧文件回填,
9250909000005,牛腩块羊蝎子大礼包1900g,both,9250909000005,牛腩块500g,1,EMG4418727173231,旧文件回填,
9250909000006,牛羊大礼包2800g（BJ）,both,9250909000006,牛腩块500g,1,EMG4418727173231,有,
9250909000006,牛羊大礼包2800g（BJ）,both,9250909000006,牛肋排400g,2,EMG4418727173759,有,
9250909000006,牛羊大礼包2800g（BJ）,both,9250909000006,带骨羔羊后腿块500g,1,EMG4418861053763,有,
9250909000006,牛羊大礼包2800g（BJ）,both,9250909000006,羊小腿500g,1,EMG4418691851778,有,
9250909000006,牛羊大礼包2800g（BJ）,both,9250909000006,羊排块500g,1,EMG4418767459988,有,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,牛腩块500g,1,EMG4418727173231,旧文件回填,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,牛腱子500g,1,EMG4418824976893,旧文件回填,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,牛肋排400g,1,EMG4418727173759,旧文件回填,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,牛肋条500g,1,EMG4418861058751,旧文件回填,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,羊腿小切500g,1,EMG4418737161147,旧文件回填,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,羊肉块500g,1,EMG4418767460168,旧文件回填,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,羊排块500g,1,EMG4418767459988,旧文件回填,
9250909000007,牛羊肉大礼包3900g（BJ）,both,9250909000007,羊小腿500g,1,EMG4418691851778,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品新西兰羊颈排1kg,2,EMG4418904458528,旧文件回填,数量差异: 旧1 vs 新2
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品羊蝎子500g,2,EMG4418727170819,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品法式羊排400g,2,EMG4418819504770,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品羊小腿500g,1,EMG4418691851778,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品带骨羊后腿块500g,2,EMG4418861053763,旧文件回填,数量差异: 旧1 vs 新2
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品牛腩块500g,2,EMG4418727173231,旧文件回填,数量差异: 旧1 vs 新2
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品牛腱子500g,1,EMG4418824976893,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品牛后腿肉500g,1,EMG4418778272348,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品牛蝎子400g,2,EMG4418691848770,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品牛肋排400g,2,EMG4418727173759,旧文件回填,数量差异: 旧3 vs 新2
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品牛肉馅500g,1,EMG4418904462240,旧文件回填,
9250917000027,子牧原切精品牛羊肉大礼包9900g（BJ,both,9250917000027,子牧原切精品带骨羊肉块500g,1,EMG4418861052375,有,
9250917000026,子牧原切牛羊肉大礼包3050g（BJ）,both,9250917000026,原切牛腩块500g,1,EMG4418727173231,旧文件回填,
9250917000026,子牧原切牛羊肉大礼包3050g（BJ）,both,9250917000026,原切牛腱子500g,2,EMG4418824976893,旧文件回填,
9250917000026,子牧原切牛羊肉大礼包3050g（BJ）,both,9250917000026,原切西冷牛排150g,1,EMG4418861059959,有,
9250917000026,子牧原切牛羊肉大礼包3050g（BJ）,both,9250917000026,原切羊蝎子500g,2,EMG4418727170819,旧文件回填,
9250917000026,子牧原切牛羊肉大礼包3050g（BJ）,both,9250917000026,原切精选羔羊肉卷200g,2,EMG4418697325133,旧文件回填,
9250923000026,子牧牛肉豪华大礼包6000g（BJ）,both,9250923000026,牛腩块500g,2,EMG4418727173231,有,
9250923000026,子牧牛肉豪华大礼包6000g（BJ）,both,9250923000026,牛肉块500g,2,EMG4418727169547,有,
9250923000026,子牧牛肉豪华大礼包6000g（BJ）,both,9250923000026,牛腱子500g,1,EMG4418824976893,有,
9250923000026,子牧牛肉豪华大礼包6000g（BJ）,both,9250923000026,牛肋排400g,3,EMG4418727173759,有,
9250923000026,子牧牛肉豪华大礼包6000g（BJ）,both,9250923000026,筋头巴脑500g,2,EMG4418705676249,有,
9250923000026,子牧牛肉豪华大礼包6000g（BJ）,both,9250923000026,牛蝎子400g,2,EMG4418691848770,有,
9250923000026,子牧牛肉豪华大礼包6000g（BJ）,both,9250923000026,牛肉馅500g,1,EMG4418904462240,有,
9250923000029,子牧原切牛羊肉礼包3550g（BJ）,both,9250923000029,原切牛腩块500g,2,EMG4418727173231,有,
9250923000029,子牧原切牛羊肉礼包3550g（BJ）,both,9250923000029,原切牛腱子500g,2,EMG4418824976893,有,
