provider_sku_code	provider_sku_name	aliases
EMG4418691848450	小龙坎火锅拼盘(6拼)	【京东配送】小龙坎火锅食材肉类6拼盘1.2kg|小龙坎火锅拼盘(肉类6拼)1.2KG|小龙坎火锅拼盘(肉类6拼)1.2KG(200g*6)|小龙坎肉类6拼1200g
EMG4418691848770	卓宸澳洲谷饲牛蝎子	【京东配送】子牧澳洲谷饲牛蝎子400g*2袋|子牧原切澳洲谷饲牛蝎子400g*2
EMG4418691851778	羊小腿	【京东配送】子牧羊小腿(羊腱子)500g*2袋|子牧羊小腿(羊腱子)500g*2
EMG4418691852262	羊腿肉	【京东配送】子牧原切纯肉羊腿肉500g*2袋|子牧原切纯肉羊腿肉500g*2|子牧羊腿肉500g*2
EMG4418691853286	M6-7三拼和牛	
EMG4418691857578	东乡贡羊羔羊羊肉卷	子牧东乡贡羊羔羊羊肉卷500g*2
EMG4418691858238	牛肉饼(1.2kg)	【京东配送】子牧进口生鲜谷饲牛肉饼1.2kg|子牧进口谷饲牛肉饼1.2KG*1
EMG4418691862714	M8-9和牛上脑片	【京东配送】子牧M8-9和牛上脑涮烤片150g*4|子牧M8-9和牛上脑烤肉片150*2|子牧和牛M8-9上脑涮烤片150g*4
EMG4418697322825	和牛肉饼100g	【京东配送】子牧生鲜和牛肉饼100g*8片
EMG4418697325133	新西兰羔羊肉卷	子牧新西兰羔羊肉卷200g*4
EMG4418705676249	筋头巴脑(500g)	【京东配送】子牧筋头巴脑500g*2袋|子牧原切筋头巴脑500g*2|子牧筋头巴脑(牛肉筋)500g*2
EMG4418726551051	海盐五花肉120g	
EMG4418727167063	鸵鸟凤尾肉排80g	
EMG4418727168035	小龙坎火锅拼盘(4拼)	【京东配送】小龙坎火锅食材4拼盘800g|小龙坎毛肚4拼800g|小龙坎火锅拼盘(毛肚4拼)800g|小龙坎火锅拼盘(毛肚4拼)800g(200g*4)
EMG4418727169547	牛肉块	【京东配送】子牧牛肉块500g*2袋|子牧原切牛肉块500g*2|子牧牛肉块500g*2
EMG4418727169935	日式谷饲横膈膜150g	
EMG4418727170819	羊蝎子	【京东配送】子牧生鲜羊蝎子500g*2袋|子牧羊蝎子500g*2
EMG4418727173231	牛腩块(500g)	【京东配送】子牧牛腩块500g*2袋|子牧原切牛腩块500g*2|子牧牛腩块500g*2
EMG4418727173759	牛肋排	【京东配送】子牧澳洲谷饲牛肋排400g*2袋|子牧澳洲谷饲牛肋排400g*2
EMG4418727174451	上脑肉片	【京东配送】子牧澳洲谷饲上脑牛肉片1kg|子牧澳洲谷饲上脑牛肉片1KG|子牧澳洲谷饲上脑牛肉片1KG*1
EMG4418727177039	东乡贡羊羔羊羊腿块	子牧东乡贡羊羔羊羊腿块500g*2
